Name,Specialities,Locations,Areas of Focus
N/A,,,
N/A,,,
"Frank V. Brozovich, M.D., Ph.D.",Cardiologist,"Rochester, MN","Coronary artery disease, Hyperlipidemia, Atrial fibrillation, Heart disease, Heart failure"
N/A,,,
N/A,,,
"Alison J. Bruce, M.B., Ch.B.",Dermatologist,"Jacksonville, FL","Laser hair removal, Intense pulsed light, Chemical peel, Facial filler injection, Cosmetic surgery, Laser resurfacing, ...Canker sores, Vulvar disorder, Actinic keratoses, Melasma, Age spots, Skin wrinkles, Acne, Oral ulcerative condition, Alopecia areata, Lichen planus, Facial volume loss, Rosacea, Lichen sclerosus, UV skin damage, Leukoplakia"
N/A,,,
N/A,,,
"Barbara K. Bruce, Ph.D., L.P.",Psychologist,"Jacksonville, FL","Pain management, Multiple myeloma, Chronic pain"
N/A,,,
N/A,,,
"Charles J. Bruce, M.B., Ch.B.","Echocardiographer, Cardiologist","Jacksonville, FL","Stress echocardiogram, Transesophageal echocardiogram, Echocardiogram, Heart valve disease, Marfan syndrome, Heart dise...ase"
N/A,,,
N/A,,,
N/A,,,
"Steven M. Bruce, M.D.",Family Physician,"Rochester, MN","Depression, Sports injury, Anxiety disorder, Exercise-induced asthma, Generalized anxiety disorder"
N/A,,,
N/A,,,
"David H. Bruining, M.D.",Gastroenterologist,"Rochester, MN",Inflammatory bowel disease
N/A,,,
N/A,,,
"Jane E. Brumbaugh, M.D.","Neonatologist, Pediatrician","Rochester, MN","Umbilical catheter placement, Lumbar puncture, Chest tube placement, Endotracheal intubation, Congenital diaphragmatic ...hernia, Premature birth, Meningitis, Respiratory distress syndrome of newborn, Sepsis, Neonatal abstinence syndrome, Bronchopulmonary dysplasia"
N/A,,,
N/A,,,
N/A,,,
"Lisa Brumble, M.D.","Internist, Infectious Disease Specialist","Jacksonville, FL","Travel vaccinations, Transplant, Fungal skin infections, Infection, General infectious diseases"
N/A,,,
N/A,,,
N/A,,,
"W. Mark Brutinel, M.D.",,"Rochester, MN",
N/A,,,
"Michael J. Bryan, M.D.",Family Physician,"Phoenix, AZ",
N/A,,,
N/A,,,
"Alan H. Bryce, M.D.","Internist, Oncologist","Phoenix, AZ","Testicular cancer, Prostate cancer, Kidney cancer, Bladder cancer"
N/A,,,
N/A,,,
N/A,,,
"Francis K. Buadi, M.D.","Internist, Hematologist","Rochester, MN","Bone marrow transplant, Plasma cell disorders, Amyloidosis"
N/A,,,
N/A,,,
N/A,,,
"Ian A. Buchanan, M.D.",Neurosurgeon,"Jacksonville, FL","Robotic spine surgery, Revision spinal surgery, Minimally invasive spine surgery, Spinal tumor, Scoliosis, Spinal cord ...injury"
N/A,,,
N/A,,,
"Colin M. Bucks, M.D.",,"Rochester, MN",
N/A,,,
"Adriane I. Budavari, M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Pooja Budhiraja, M.B.B.S.",Nephrologist,"Phoenix, AZ","Kidney donor evaluation, Peritoneal dialysis, Hemodialysis, Kidney failure, Autoimmune disease"
N/A,,,
N/A,,,
"Tamara E. Buechler, M.D., M.H.A.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Martin Bues, Ph.D.",Radiation Oncology Medical Physicist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Alessia Buglioni, M.D.",,"Rochester, MN",
N/A,,,
"John B. Bundrick, M.D.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Luke J. Burchill, M.B.B.S., Ph.D.",Cardiologist,"Rochester, MN","Transesophageal echocardiogram, Heart disease in pregnancy, Congenital heart defects in adults, Heart failure"
N/A,,,
N/A,,,
"Charles D. Burger, M.D.",Pulmonologist,"Jacksonville, FL","Pulmonary thromboendarterectomy, Pectus excavatum, Lymphangioleiomyomatosis, Chronic thromboembolic pulmonary hypertens...ion, Pulmonary hypertension"
N/A,,,
N/A,,,
"David B. Burkholder, M.D.",Neurologist,"Rochester, MN","Epilepsy surgery, EEG, Epilepsy"
N/A,,,
N/A,,,
"John C. Burnett, Jr., M.D.",Internist,"Rochester, MN","Brain natriuretic peptide test, High blood pressure, Heart failure"
N/A,,,
N/A,,,
"Tatnai L. Burnett, M.D.",Gynecologist,"Rochester, MN","Birth control pill method, Colposcopy, Myomectomy, Ablation, Hysteroscopy, Diagnostic hysteroscopy, Endometrial ablatio...n, Gynecological surgery, Polypectomy, Focused ultrasound surgery for uterine fibroids, Minimally invasive surgery, Endometriosis surgery, Pelvic exam, Female hormone replacement therapy, CO-2 laser treatment, Radiofrequency ablation, Conization, Loop electrosurgical excision procedure, Intrauterine device method, Diagnostic laparoscopy, Imperforate hymen, Vaginal yeast infection, Pelvic pain, Cervical dysplasia, Vaginitis, Primary ovarian insufficiency, Adenomyosis, Polycystic ovary syndrome, Menstrual cramps, Vulvodynia, Adnexal tumors, Heavy menstrual bleeding, Menopause, Sexually transmitted disease, Lichen sclerosus, Lower genital tract dysplasia, Painful intercourse, Ectopic pregnancy, Vaginal atrophy, Uterine anomaly, Uterine fibroid, Endometriosis, Septate uterus, Miscarriage, Perimenopause, Ovarian cyst, Bacterial vaginosis, Vulvar dysplasia, HPV infection, Chronic pelvic pain, Uterine polyps, Postmenopausal bleeding"
N/A,,,
N/A,,,
"Justin M. Burns, M.D.",Surgeon,"Jacksonville, FL","Donor nephrectomy, Pancreas transplant, Liver transplant, Kidney transplant, Hepatocellular carcinoma, Gallbladder canc...er"
N/A,,,
N/A,,,
"Terence (Terry) C. Burns, M.D., Ph.D.",,"Rochester, MN","Gamma knife surgery, Brain stereotactic radiosurgery, Brain tumor surgery, Awake brain surgery, Intraoperative magnetic... resonance imaging, Glioblastoma, Oligodendroglioma, Medulloblastoma, Ependymoma, Brain tumor, Brain metastasis, Meningioma, Astrocytoma"
N/A,,,
"Mary F. Burritt, Ph.D.",,"Phoenix, AZ",Calcium test
N/A,,,
"M. Caroline Burton, M.D.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Ronald R. Butendieck, Jr., M.D.","Internist, Rheumatologist","Jacksonville, FL","Vasculitis, Rheumatoid arthritis, Behcet's disease, Gout"
N/A,,,
N/A,,,
N/A,,,
"Yvonne S. Butler Tobah, M.D.",Gynecologist,"Rochester, MN","High risk pregnancy, Infectious disease, HIV/AIDS"
N/A,,,
N/A,,,
"Kristina A. Butler, M.D., M.S.","Gynecologic Oncologist, Gynecologist, Urogynecologist","Phoenix, AZ","Intraperitoneal chemotherapy, Hysterectomy, Laparoscopic surgery, Urinary incontinence surgery, Gynecological surgery, ...Robotic surgery, Single-incision laparoscopic surgery, Gynecologic cancer, Pelvic organ prolapse, Ovarian cyst, Endometrial cancer, Ovarian cancer, Endometriosis, Urinary incontinence, Vaginal fistula, Cervical cancer"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Shayan Butt, M.B.B.S.",,"Jacksonville, FL",
N/A,,,
"Yasmeen M. Butt, M.D.",,"Phoenix, AZ",
N/A,,,
"Navtej (Nav) S. Buttar, M.D.",Gastroenterologist,"Rochester, MN","Minimally invasive anti-reflux procedure, Endoscopic procedure, Polyp, Gastroesophageal reflux disease, Esophageal canc...er, Inflammatory bowel disease"
N/A,,,
N/A,,,
"Joseph H. Butterfield, M.D.","Internist, Allergist-Immunologist","Rochester, MN",Systemic mastocytosis
N/A,,,
N/A,,,
N/A,,,
"Matthew A. Butters, M.D.",Physiatrist,"Phoenix, AZ","Lumbar spinal stenosis, Cervical myelopathy, Back pain, Hip tendinitis, Lumbar radiculopathy, Cervical herniated disk, ...Osteoarthritis, Neck pain, Knee pain, Cervical spinal stenosis, Lumbar herniated disk, Hip arthritis, Cervical radiculopathy, Shoulder disorder"
N/A,,,
N/A,,,
"Mohamad Bydon, M.D.",Neurosurgeon,"Rochester, MN","Lumbar scoliosis surgery, Spinal fusion, Laminoplasty, Spine reconstruction, Laminectomy, Lumbar diskectomy, Cervical s...pine surgery, Spine tumor surgery, Cervical laminectomy, Thoracic laminectomy, Thoracic scoliosis surgery, Cervical pseudoarthrosis procedure, Minimally invasive surgery, Spine procedure, Cervical disk replacement, Lumbar spine fusion (Deprecated), Lumbar laminectomy, Lumbar spinal fusion (Deprecated), Lumbar pseudoarthrosis procedure, Laminotomy, Thoracic pseudoarthrosis procedure, Spinal deformity correction surgery, Spine stabilization program, Spine decompression, Diskectomy, Thoracic diskectomy, Cervical diskectomy, Cervical spine fusion, Thoracic fusion, Spinal tumor ablation, Spinal stabilization surgery, Lumbar fusion, Cervical scoliosis surgery, Hemivertebra resection, Cervical radiculopathy, Lumbar herniated disk, Myelopathy, Cervical herniated disk, Neck pain, Spine deformity, Cervical spine deformity, Spinal cord tumor, Thoracic radiculopathy, Spinal stenosis, Cervical spondylotic myelopathy, Spinal pain, Tumors and masses, Lumbar radiculopathy, Radiculopathy, Spondylotic myelopathy, Trigeminal neuralgia, Spinal compression fracture, Spinal tumor, Spinal cord injury, Spinal metastasis, Cervical spinal stenosis, Spondylolisthesis, Spinal fracture, Spinal arteriovenous malformation, Degenerative disk disease, Spinal abscess, Cervical kyphosis, Scoliosis, Cervical spondylosis, Back pain, Lumbar spondylosis, Herniated disk, Cervical myelopathy, Spinal cord metastasis, Thoracic herniated disk, Chiari malformation, Lumbar spinal stenosis, Cervical spondylolisthesis, Thoracic myelopathy"
N/A,,,
N/A,,,
"Thomas J. Byrne, M.D.","Transplant Hepatologist, Internist","Phoenix, AZ","Hepatocellular carcinoma, Nonalcoholic fatty liver disease"
N/A,,,
N/A,,,
N/A,,,
"Tina H. Byun, M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Allison Cabalka, M.D.",Pediatric Cardiologist,"Rochester, MN","Fetal echocardiogram, Transesophageal echocardiogram, Cardiac catheterization, Echocardiogram, Congenital heart disease..., Heart disease, Atrial septal defect, Patent ductus arteriosus"
N/A,,,
N/A,,,
"Daniel Cabrera, M.D.",Emergency Medicine Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Charles R. Cagin, D.O.","Interventional Cardiologist, Internist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Hancheng Cai, Ph.D.",,"Jacksonville, FL",
N/A,,,
"Meghan R. Cain, M.D.",,"Rochester, MN",
N/A,,,
"Hector R. Cajigas, M.D.","Critical Care Specialist, Pulmonologist","Rochester, MN","Pulmonary embolism, Pulmonary arteriovenous malformation, Portopulmonary hypertension, Hepatopulmonary syndrome, Heredi...tary hemorrhagic telangiectasia, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
"Kenneth T. Calamia, M.D.","Internist, Rheumatologist","Jacksonville, FL","Vasculitis, Rheumatoid arthritis, Behcet's disease, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
"Marcella Caldi Scalcini, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Cameron M. Callaghan, M.D.",Radiation Oncologist,"Rochester, MN","Proton therapy, Stereotactic body radiotherapy, Radiation therapy, Stereotactic radiosurgery, Intraoperative radiation ...therapy, Colon cancer, Stomach cancer, Rectal cancer, Cholangiocarcinoma, Hepatocellular carcinoma, Esophageal cancer, Anal cancer, Pancreatic cancer"
N/A,,,
N/A,,,
"Matthew R. Callstrom, M.D., Ph.D.",Radiologist,"Rochester, MN",Kidney biopsy
N/A,,,
N/A,,,
"Marc Camacho, M.D., M.S.",Radiologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Michael J. Camilleri, M.D.","Dermatologist, Dermatopathologist","Rochester, MN","Blister, Skin inflammation, Dermatitis"
N/A,,,
N/A,,,
N/A,,,
"Michael Camilleri, M.D.",Gastroenterologist,"Rochester, MN","GI motility test, Inflammatory bowel disease"
N/A,,,
N/A,,,
"John K. Camoriano, M.D.","Internist, Hematologist, Oncologist","Phoenix, AZ","Bone marrow transplant, Myeloproliferative disorders, Lymphoma, Breast cancer, Castleman disease"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Christopher L. Camp, M.D.","Orthopedic Surgeon, Sports Medicine Specialist","Rochester, MN","Elbow arthroscopy, Rotator cuff surgery, Tommy John surgery, Shoulder arthroscopy, Knee surgery, Shoulder replacement s...urgery, Elbow instability, Rotator cuff injury, Acromioclavicular joint arthritis, Biceps tendinitis, Medial collateral ligament tear, ACL injury, Golfer's elbow, Torn meniscus, Tennis elbow, Cartilage injury, Little Leaguer's elbow, Patellofemoral instability, Labral tear, Lateral collateral ligament tear, Biceps tear, Arthritis, Shoulder instability"
N/A,,,
N/A,,,
N/A,,,
"Ronna L. Campbell, M.D., Ph.D.",Emergency Medicine Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Norbert G. Campeau, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Jian L. Campian, M.D., Ph.D.",Oncologist,"Rochester, MN","Intrathecal chemotherapy, Neurofibromatosis, Meningioma, Brain metastasis, Medulloblastoma, Leptomeningeal metastases, ...Astrocytoma, Glioblastoma, Pineoblastoma, Oligodendroglioma"
N/A,,,
N/A,,,
"Juan M. Canabal, M.D.","Critical Care Specialist, Internist","Jacksonville, FL","Intensive care, Shock, Liver problems, Hepatopulmonary syndrome, Sepsis"
N/A,,,
N/A,,,
N/A,,,
"David J. Cangemi, M.D.",Gastroenterologist,"Jacksonville, FL","Upper endoscopy, Bravo capsule pH test, Impedance pH testing, Colonoscopy, Esophageal manometry, Gastrointestinal trans...it study, Gastric emptying study, Breath testing, Anorectal manometry, Irritable bowel syndrome, Functional dyspepsia, Nonulcer stomach pain, Constipation, Diarrhea, Small intestinal bacterial overgrowth, Gastroparesis, Intestinal pseudo-obstruction, Pelvic floor dysfunction, Dysphagia, Gastroesophageal reflux disease, Functional bowel disorder, Heartburn"
N/A,,,
N/A,,,
"Bryan C. Cannon, M.D.",Pediatric Cardiologist,"Rochester, MN","EP study, Endovenous thermal ablation, Exercise stress test, Electrocardiogram, Implantable cardioverter-defibrillator ...insertion, Tilt table test, Transesophageal echocardiogram, Ablation, Pacemaker insertion, Cryotherapy"
N/A,,,
N/A,,,
"Keith J. Cannon, M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Hafsa M. Cantwell, M.D.",Dermatologist,"Rochester, MN","Botox injection, Facial filler injection, Wrinkle treatment, Chemical peel, Laser hair removal, Laser ablation, Laser r...esurfacing, Soft tissue augmentation, Connective tissue disorder, Hair loss, Contact dermatitis, UV skin damage, Melasma, Dermatitis, Acne scarring, Psoriasis, Age spots, Scarring, Bullous disease, Skin wrinkles"
N/A,,,
N/A,,,
"Nicholas (Nick) C. Canzanello, D.O.",Physiatrist,"Rochester, MN","Nerve block, Radiofrequency neurotomy, Joint injection, Back pain management, Facet joint injection, Neck pain manageme...nt, Intrathecal pump implantation, Spinal cord stimulator insertion, Epidural blood patch, Epidural steroid injection, Nerve irritation, Radiculopathy, Shoulder arthritis, Lumbar spondylosis, Knee arthritis, Spinal pain, Hip arthritis, Herniated disk, Back pain, Spinal stenosis, Neck pain"
N/A,,,
N/A,,,
"Vincent J. Canzanello, Jr., M.D.","Nephrologist, Internist","Rochester, MN","Kidney stone, Kidney failure, High blood pressure, Diabetes"
N/A,,,
N/A,,,
N/A,,,
"Sean M. Caples, D.O., M.S.","Critical Care Specialist, Pulmonologist, Sleep Medicine Specialist","Rochester, MN","Intensive care, Sleep disorders, Breathing problem NOS"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Quintin M. Cappelle, M.D.",,"Rochester, MN",
N/A,,,
"Pedro J. Caraballo, M.D.","Internist, Clinical Informaticist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Ivan (Darin) D. Carabenciov, M.D.",,"Rochester, MN",
N/A,,,
"Anisleidy Carbo, M.D.",Family Physician,"Jacksonville, FL",Intrauterine device method
N/A,,,
N/A,,,
"Juan C. Cardenas Rosales, M.D.",Internist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Olivia O. Cardenas-Trowers, M.D.","Urogynecologist, Gynecologist","Jacksonville, FL","Midurethral sling surgery, Robotic surgery, Vesicovaginal fistula repair , Sacral nerve stimulation, Sacrocolpopexy, Ur...inary sling procedure, Vaginal hysterectomy, Cystourethroscopy, Laparoscopic surgery, Urethral bulking, Pelvic floor reconstruction, Minimally invasive surgery, Vaginal repair, Rectovaginal fistula repair, Urethral diverticulum surgery, Botox injection, Hysterectomy, Gynecological surgery, Anterior prolapse, Urge incontinence , Rectocele, Urethral diverticulum, Uterine prolapse, Fecal incontinence, Fistula, Stress incontinence, Pelvic organ prolapse, Urinary incontinence, Enterocele, Overactive bladder"
N/A,,,
N/A,,,
N/A,,,
"Elise C. Carey, M.D.","Internist, Palliative Care Specialist","Rochester, MN",Palliative care
N/A,,,
N/A,,,
N/A,,,
"Elizabeth J. Carey, M.D.","Transplant Hepatologist, Internist, Gastroenterologist","Phoenix, AZ","Liver transplant, Autoimmune hepatitis, Primary biliary cholangitis, Primary sclerosing cholangitis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"William A. Carey, M.D.","Neonatologist, Pediatrician","Rochester, MN","Cerebral palsy, Encephalopathy"
N/A,,,
N/A,,,
N/A,,,
"Brian T. Carlsen, M.D.","Plastic Surgeon, Hand Surgeon","Rochester, MN","Wrist fusion, Elbow replacement, Wrist replacement, Hand reconstruction, Wrist fracture treatment, Hand surgery, Recons...tructive surgery, Flexor tendon repair surgery, Arthroplasty, Wrist arthroscopy, Hand fracture treatment, Finger reattachment, Flap surgery, Peripheral nerve tumor surgery, Vascularized bone grafting, Cosmetic surgery, Arthroscopy, Carpal tunnel surgery, Carpal tunnel syndrome, Tendinopathy, Broken hand, Hand injury, Dupuytren's contracture, Arthritis, Thumb arthritis, Hand mass, Hand arthritis, Trigger finger, Wrist pain, Nerve entrapment, Scaphoid nonunion, Broken wrist"
N/A,,,
N/A,,,
N/A,,,
"Matthew L. Carlson, M.D.",Otolaryngologist,"Rochester, MN","Tympanoplasty, Stapes surgery, Cochlear implant procedure, Vestibular disorder, Otosclerosis, Acoustic neuroma"
N/A,,,
N/A,,,
"Stephanie K. Carlson, M.D.",Radiologist,"Rochester, MN",PET/CT whole body
N/A,,,
N/A,,,
"Thomas T. Carmody, M.D.",Cardiovascular Surgeon,,"Aortic valve repair and replacement, Maze procedure, Lung biopsy, Off pump coronary bypass surgery, Aortic aneurysm rep...air, Mitral valve repair and replacement, Coronary bypass surgery, Carotid endarterectomy, Lung cancer, Aortic aneurysm, Atrial fibrillation"
N/A,,,
"Eva M. Carmona Porquera, M.D., Ph.D.","Internist, Pulmonologist","Rochester, MN","Sarcoidosis, Interstitial lung disease, Lung cancer, Asthma attack"
N/A,,,
N/A,,,
N/A,,,
"Christopher (Chris) R. Carpenter, M.D.",,"Rochester, MN",
N/A,,,
"Brendan M. Carr, M.D., M.B.A.",,"Rochester, MN",
N/A,,,
"Carrie M. Carr, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Ryan M. Carr, M.D., Ph.D.",Oncologist,"Rochester, MN","Pancreatic cancer, Cholangiocarcinoma, Hepatocellular carcinoma, Colon cancer, Rectal cancer, Stomach cancer, Esophagea...l cancer, Anal cancer, Neuroendocrine tumor, Small bowel cancer"
N/A,,,
N/A,,,
"Leslie Carranza, M.D.",Obstetrician,"Rochester, MN","Pregnancy, Pregnancy complication, Pregnancy loss"
N/A,,,
N/A,,,
"Aakriti R. Carrubba, M.D.",Gynecologist,"Jacksonville, FL","Endometrial ablation, Colposcopy, Conization, Myomectomy, Pelvic surgery, Fertility sparing surgery, Cervical biopsy, O...ophorectomy, Robotic surgery, Ovarian remnant removal, Hysterectomy, Laser surgery, Laparoscopic surgery, Contraceptive implant method, Intrauterine device method, Salpingectomy, Endometrial biopsy, Endometriosis surgery, Hysteroscopy, Contraceptive injection method, Adenomyosis, Uterine polyps, Vulvodynia, Ovarian cyst, Sexually transmitted disease, Vaginal atrophy, Female sexual dysfunction, Endometriosis, Chronic pelvic pain, Menopause-related conditions, Cervical dysplasia, Uterine fibroid"
N/A,,,
N/A,,,
"Jonathan L. Carter, M.D.","Neurologist, Neuromuscular Disease Specialist","Phoenix, AZ","Optic neuritis, Multiple sclerosis, Transverse myelitis"
N/A,,,
N/A,,,
N/A,,,
"Rodrigo Cartin-Ceba, M.D.","Critical Care Specialist, Pulmonologist","Phoenix, AZ","Bronchoscopy, Vasculitis, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
"Ana I. Casanegra, M.D., M.S.","Vascular Medicine Specialist, Internist","Rochester, MN","Ultrasound, Anticoagulant therapy, Antiphospholipid syndrome, Thrombophlebitis, Protein S deficiency, Carotid artery di...sease, Fibromuscular dysplasia, Venous thrombosis, Factor V Leiden, Carotid artery dissection, Peripheral artery disease, Protein C deficiency, Renal artery stenosis, Pulmonary embolism, Thrombophilia, Aortic dissection, Congenital blood clotting disorder, Deep vein thrombosis, Vasospastic disorders, Aneurysm, Antithrombin deficiency, Arterial embolism, Visceral artery aneurysm"
N/A,,,
N/A,,,
N/A,,,
"Gregory D. Cascino, M.D.","Internist, Neurologist","Rochester, MN","Angelman syndrome, Epilepsy"
N/A,,,
N/A,,,
N/A,,,
"Richard J. Caselli, M.D.",Neurologist,"Phoenix, AZ","Electromyography, Alzheimer's disease"
N/A,,,
N/A,,,
"Melanie P. Caserta, M.D.",Radiologist,"Jacksonville, FL","Contrast-enhanced ultrasound, Ultrasound, MRI, CT scan"
N/A,,,
N/A,,,
"William J. Casey, III, M.D.",Plastic Surgeon,"Phoenix, AZ","Cancer treatment, Skin graft surgery, Microvascular reconstruction, Breast augmentation, Skin cancer excision, Liposuct...ion, Hernia repair, Rhinoplasty, Tummy tuck, Laser resurfacing, Lymphovenous bypass, Breast surgery, Breast reduction, Vascularized free fibula transfer, Face lift, Facial filler injection, Breast reconstruction, Microvascular surgery, Breast reconstruction with breast implants, Botox injection, Reconstructive surgery, Mohs surgery, Blepharoplasty, Vascularized lymph node transfer, Breast reconstruction with flap surgery, Skin cancer reconstruction, Hernia, Facial deformity, Facial injury, Skin cancer, Neurofibromatosis, Weight, Facial nerve disorder, Facial filler injection, Breast cancer-related lymphedema, Lymphedema, Facial skin cancer, Obesity, Burns, Facial paralysis, Traumatic injury"
N/A,,,
N/A,,,
"John D. Casler, M.D.",Otolaryngologist,"Jacksonville, FL","Reconstructive surgery, Thyroid cancer, Jaw tumors and cysts, Head and neck cancer"
N/A,,,
N/A,,,
"Adam Cassidy, Ph.D., L.P.",Neuropsychologist,"Rochester, MN","Neuropsychological assessment, Heart transplant complication, Transposition of the great arteries, Hypoplastic left hea...rt syndrome, Congenital heart disease, Tetralogy of Fallot, Ventricular septal defect, Atrial septal defect"
N/A,,,
N/A,,,
"Stephen D. Cassivi, M.D., M.S.",Thoracic Surgeon,"Rochester, MN","Minimally invasive surgery, Segmentectomy, Minimally invasive esophagectomy, Robotic lobectomy, Esophagectomy, Hyperhid...rosis surgery, Minimally invasive thymectomy, Lung volume reduction surgery, Robotic surgery, Heller myotomy, VATS lobectomy, Video mediastinoscopy, Supercharged jejunal interposition, VATS, Thymectomy, Esophageal reconstruction, Lung cancer, Achalasia, Mediastinal tumor, Mediastinal lymph node enlargement, Myasthenia gravis, Pneumothorax, Pancoast tumor, Esophageal cancer, Hyperhidrosis, Thymic tumor, Gastroesophageal reflux disease, Hiatal hernia"
N/A,,,
N/A,,,
"Pablo R. Castillo, M.D.","Internist, Neurologist, Sleep Medicine Specialist","Jacksonville, FL","Sleep disorders, Parasomnia"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Januario E. Castro, M.D.",Hematologist / Oncologist,"Phoenix, AZ","CAR t-cell therapy, Lymphoma, Chronic lymphocytic leukemia"
N/A,,,
N/A,,,
"M. Regina Castro, M.D.","Lipidologist, Endocrinologist","Rochester, MN","Fine needle aspiration, Hypothyroidism, Thyroid cancer, Graves' disease, Thyroid nodule, Thyroid disease, Diabetes, Hyp...erthyroidism"
N/A,,,
N/A,,,
N/A,,,
"Joao Paulo Cavalcante de Almeida, M.D., Ph.D.",Neurosurgeon,"Jacksonville, FL","Endoscopic transnasal transsphenoidal surgery, Endoscopic skull base surgery, Pituitary tumor surgery, Awake brain surg...ery, Skull base surgery, Craniotomy, Gamma knife surgery, Encephalocele, Glioma, Brain tumor-associated epilepsy, Subdural hematoma, Chondrosarcoma, Glioma-associated epilepsy, Chordoma, Schwannoma, Skull base tumor, Pituitary tumor, Brain metastasis, CSF leak, Trigeminal neuralgia, Brain cancer, Meningioma, Brain tumor, Craniopharyngioma"
N/A,,,
N/A,,,
"John N. Caviness, M.D.",Neurologist,"Phoenix, AZ","EEG, Chorea, Huntington's disease, Movement disorder, Parkinson's disease, Myoclonus"
N/A,,,
N/A,,,
"Jane H. Cerhan, Ph.D., L.P.",Psychologist,"Rochester, MN",Cancer
N/A,,,
N/A,,,
"Joseph G. Cernigliaro, M.D.",Radiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Frank Cetta, Jr., M.D.",Pediatric Cardiologist,"Rochester, MN","Cardiac catheterization, Echocardiogram, Congenital heart disease, Congenital heart defects in children, Congenital hea...rt defects in adults"
N/A,,,
N/A,,,
"Michael J. Cevette, Ph.D.",Audiologist,"Phoenix, AZ","Age-related hearing loss, Hearing loss, Vestibular disorder"
N/A,,,
N/A,,,
"Yong-Mei Cha, M.D.","Cardiologist, Cardiac Electrophysiologist","Rochester, MN","Cardiac resynchronization therapy, Atrial fibrillation ablation, Implantable cardioverter-defibrillator insertion, Card...iac ablation, Endocardial ablation, Epicardial ablation, AV node ablation, Pacemaker lead extraction, Pacemaker insertion, EP study, ICD lead extraction, Cardiac resynchronization device insertion, Sudden cardiac arrest, Atrial fibrillation, Ventricular arrhythmia, Heart arrhythmia"
N/A,,,
N/A,,,
N/A,,,
"Ryan M. Chadha, M.D.",Anesthesiologist,"Jacksonville, FL","General anesthesia administration, Liver transplant"
N/A,,,
N/A,,,
"Kaisorn L. Chaichana, M.D.",Neurosurgeon,"Jacksonville, FL","Minimally invasive neurosurgery, Endoscopic transnasal transsphenoidal surgery, Minimally invasive surgery, Endoscopic ...procedure, Keyhole craniotomy, Craniotomy, Brain tumor surgery, Astrocytoma, Brain cancer, Meningioma, Acoustic neuroma, Brain tumor, Glioblastoma, CSF leak, Chordoma, Glioma, Pituitary tumor, Chondrosarcoma, Craniopharyngioma, Esthesioneuroblastoma, Oligodendroglioma, Brain metastasis"
N/A,,,
N/A,,,
"Harini A. Chakkera, M.D.","Nephrologist, Internist","Phoenix, AZ","Pancreas transplant, Kidney transplant, Kidney failure, Pancreatic disorder"
N/A,,,
N/A,,,
N/A,,,
"Rana Chakraborty, M.D., D.Phil.",Pediatric Infectious Disease Specialist,"Rochester, MN","Infection in the immunocompromised, Infectious disease, HIV/AIDS"
N/A,,,
N/A,,,
"Hari P. Chaliki, M.D.","Echocardiographer, Cardiologist","Phoenix, AZ","Echocardiogram, Heart valve disease"
N/A,,,
N/A,,,
N/A,,,
"Swarna S. Chaliki, M.B.B.S., M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Douglas (Doug) W. Challener, M.D., M.S.",,"Rochester, MN",General infectious diseases
N/A,,,
"Sarah J. Chalmers, M.D.","Pulmonologist, Critical Care Specialist, Pediatrician, Internist","Rochester, MN","Bronchoscopy, Arterial line placement, Central venous catheterization, Endotracheal intubation, Chest tube placement, T...horacentesis, Cystic fibrosis, Mycobacterial infection, Bronchiectasis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Andrew N. Chalupka, M.D., M.B.A.",Anesthesiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Alex Chan, D.O.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
