Hospital Name,Name,Specialities,Areas of Focus
Mayo Clinic,"Todd M. Brinker, M.D.",Family Physician,
Mayo Clinic,"Debra H. Brinkmann, Ph.D.",Radiation Oncology Medical Physicist,
Mayo Clinic,"Juan P. Brito Campana, M.B.B.S.","Internist, Endocrinologist",
Mayo Clinic,"Jeffrey W. Britton, M.D.",Neurologist,"Video EEG monitoring, EEG, Angelman syndrome, Autoimmune disease, Epilepsy"
Mayo Clinic,"Daniel F. Broderick, M.D.",Radiologist,Cerebral amyloid angiopathy
Mayo Clinic,"Gregory A. Broderick, M.D.",Urologist,"Prostate surgery, Penile implant insertion, Urethroplasty, Prostate laser surgery, Ureteroscopy, Stress incontinence, P...eyronie's disease, Erectile dysfunction, Urethral stricture, Benign prostatic hyperplasia"
Mayo Clinic,"Mark P. Brodersen, M.D.",Orthopedic Surgeon,"Reconstructive surgery, Shoulder disorder, Sports injury, Injury"
Mayo Clinic,"Autumn M. Brogan, M.D., M.P.H.",Emergency Medicine Physician,Emergency care
Mayo Clinic,"Stephen M. Broski, M.D.",Radiologist,"PET/MRI scan, PET/CT scan, MRI, CT scan, X-ray, SPECT scan"
Mayo Clinic,"Thomas G. Brott, M.D.",Neurologist,"Therapeutic hypothermia, Stroke, Intracranial hemorrhage, Subarachnoid hemorrhage, Cerebrovascular disease, Ischemic st...roke"
Mayo Clinic,"Allen W. Brown, M.D.",Physiatrist,"Inpatient rehabilitation , Brain rehabilitation, Physical examination, Stroke, Acquired brain disorder, Head trauma, De...generative brain disease, Brain aneurysm, Brain tumor, Traumatic brain injury, Hemiparesis, Neurocognitive disorder, Concussion, Head and brain injury"
Mayo Clinic,"Daniel R. Brown, M.D., Ph.D.",Anesthesiologist,General anesthesia administration
Mayo Clinic,"Michael J. Brown, M.D.",Anesthesiologist,"Trauma care, General anesthesia administration"
Mayo Clinic,"Paul D. Brown, M.D.",Radiation Oncologist,"Radiation therapy, Stereotactic radiosurgery, Proton therapy, Brain stereotactic radiosurgery, Intensity-modulated radi...ation therapy, Brain metastasis, Spinal tumor, Brain tumor"
Mayo Clinic,"Robert D. Brown, Jr., M.D., M.P.H.",Neurologist,"Stroke prevention, Central nervous system vascular malformations, Arteriovenous malformation, CNS vasculitis, Transient... ischemic attack, Stroke, Carotid artery disease, Cavernous malformations, Brain aneurysm"
Mayo Clinic,"Tanya M. Brown, Ph.D., L.P.",Psychologist,"Angelman syndrome, Traumatic brain injury, Pediatric trauma, Pediatric brain tumor, Brain tumor, Epilepsy"
Mayo Clinic,"Frank V. Brozovich, M.D., Ph.D.",Cardiologist,"Coronary artery disease, Hyperlipidemia, Atrial fibrillation, Heart disease, Heart failure"
Mayo Clinic,"Alison J. Bruce, M.B., Ch.B.",Dermatologist,"Laser hair removal, Intense pulsed light, Chemical peel, Facial filler injection, Cosmetic surgery, Laser resurfacing, ...Canker sores, Vulvar disorder, Actinic keratoses, Melasma, Age spots, Skin wrinkles, Acne, Oral ulcerative condition, Alopecia areata, Lichen planus, Facial volume loss, Rosacea, Lichen sclerosus, UV skin damage, Leukoplakia"
Mayo Clinic,"Barbara K. Bruce, Ph.D., L.P.",Psychologist,"Pain management, Multiple myeloma, Chronic pain"
Mayo Clinic,"Charles J. Bruce, M.B., Ch.B.","Echocardiographer, Cardiologist","Stress echocardiogram, Transesophageal echocardiogram, Echocardiogram, Heart valve disease, Marfan syndrome, Heart dise...ase"
Mayo Clinic,"Steven M. Bruce, M.D.",Family Physician,"Depression, Sports injury, Anxiety disorder, Exercise-induced asthma, Generalized anxiety disorder"
Mayo Clinic,"David H. Bruining, M.D.",Gastroenterologist,Inflammatory bowel disease
Mayo Clinic,"Jane E. Brumbaugh, M.D.","Neonatologist, Pediatrician","Umbilical catheter placement, Lumbar puncture, Chest tube placement, Endotracheal intubation, Congenital diaphragmatic ...hernia, Premature birth, Meningitis, Respiratory distress syndrome of newborn, Sepsis, Neonatal abstinence syndrome, Bronchopulmonary dysplasia"
Mayo Clinic,"Lisa Brumble, M.D.","Internist, Infectious Disease Specialist","Travel vaccinations, Transplant, Fungal skin infections, Infection, General infectious diseases"
Mayo Clinic,"W. Mark Brutinel, M.D.",,
Mayo Clinic,"Michael J. Bryan, M.D.",Family Physician,
Mayo Clinic,"Alan H. Bryce, M.D.","Internist, Oncologist","Testicular cancer, Prostate cancer, Kidney cancer, Bladder cancer"
Mayo Clinic,"Francis K. Buadi, M.D.","Internist, Hematologist","Bone marrow transplant, Plasma cell disorders, Amyloidosis"
Mayo Clinic,"Ian A. Buchanan, M.D.",Neurosurgeon,"Robotic spine surgery, Revision spinal surgery, Minimally invasive spine surgery, Spinal tumor, Scoliosis, Spinal cord ...injury"
Mayo Clinic,"Colin M. Bucks, M.D.",,
Mayo Clinic,"Adriane I. Budavari, M.D.",Internist,
Mayo Clinic,"Pooja Budhiraja, M.B.B.S.",Nephrologist,"Kidney donor evaluation, Peritoneal dialysis, Hemodialysis, Kidney failure, Autoimmune disease"
Mayo Clinic,"Tamara E. Buechler, M.D., M.H.A.","Internist, Hospitalist",
Mayo Clinic,"Martin Bues, Ph.D.",Radiation Oncology Medical Physicist,
Mayo Clinic,"Alessia Buglioni, M.D.",,
Mayo Clinic,"John B. Bundrick, M.D.","Internist, Hospitalist",
Mayo Clinic,"Luke J. Burchill, M.B.B.S., Ph.D.",Cardiologist,"Transesophageal echocardiogram, Heart disease in pregnancy, Congenital heart defects in adults, Heart failure"
Mayo Clinic,"Charles D. Burger, M.D.",Pulmonologist,"Pulmonary thromboendarterectomy, Pectus excavatum, Lymphangioleiomyomatosis, Chronic thromboembolic pulmonary hypertens...ion, Pulmonary hypertension"
Mayo Clinic,"David B. Burkholder, M.D.",Neurologist,"Epilepsy surgery, EEG, Epilepsy"
Mayo Clinic,"John C. Burnett, Jr., M.D.",Internist,"Brain natriuretic peptide test, High blood pressure, Heart failure"
Mayo Clinic,"Tatnai L. Burnett, M.D.",Gynecologist,"Birth control pill method, Colposcopy, Myomectomy, Ablation, Hysteroscopy, Diagnostic hysteroscopy, Endometrial ablatio...n, Gynecological surgery, Polypectomy, Focused ultrasound surgery for uterine fibroids, Minimally invasive surgery, Endometriosis surgery, Pelvic exam, Female hormone replacement therapy, CO-2 laser treatment, Radiofrequency ablation, Conization, Loop electrosurgical excision procedure, Intrauterine device method, Diagnostic laparoscopy, Imperforate hymen, Vaginal yeast infection, Pelvic pain, Cervical dysplasia, Vaginitis, Primary ovarian insufficiency, Adenomyosis, Polycystic ovary syndrome, Menstrual cramps, Vulvodynia, Adnexal tumors, Heavy menstrual bleeding, Menopause, Sexually transmitted disease, Lichen sclerosus, Lower genital tract dysplasia, Painful intercourse, Ectopic pregnancy, Vaginal atrophy, Uterine anomaly, Uterine fibroid, Endometriosis, Septate uterus, Miscarriage, Perimenopause, Ovarian cyst, Bacterial vaginosis, Vulvar dysplasia, HPV infection, Chronic pelvic pain, Uterine polyps, Postmenopausal bleeding"
Mayo Clinic,"Justin M. Burns, M.D.",Surgeon,"Donor nephrectomy, Pancreas transplant, Liver transplant, Kidney transplant, Hepatocellular carcinoma, Gallbladder canc...er"
Mayo Clinic,"Terence (Terry) C. Burns, M.D., Ph.D.",,"Gamma knife surgery, Brain stereotactic radiosurgery, Brain tumor surgery, Awake brain surgery, Intraoperative magnetic... resonance imaging, Glioblastoma, Oligodendroglioma, Medulloblastoma, Ependymoma, Brain tumor, Brain metastasis, Meningioma, Astrocytoma"
Mayo Clinic,"Mary F. Burritt, Ph.D.",,Calcium test
Mayo Clinic,"M. Caroline Burton, M.D.","Internist, Hospitalist",
Mayo Clinic,"Ronald R. Butendieck, Jr., M.D.","Internist, Rheumatologist","Vasculitis, Rheumatoid arthritis, Behcet's disease, Gout"
Mayo Clinic,"Yvonne S. Butler Tobah, M.D.",Gynecologist,"High risk pregnancy, Infectious disease, HIV/AIDS"
Mayo Clinic,"Kristina A. Butler, M.D., M.S.","Gynecologic Oncologist, Gynecologist, Urogynecologist","Intraperitoneal chemotherapy, Hysterectomy, Laparoscopic surgery, Urinary incontinence surgery, Gynecological surgery, ...Robotic surgery, Single-incision laparoscopic surgery, Gynecologic cancer, Pelvic organ prolapse, Ovarian cyst, Endometrial cancer, Ovarian cancer, Endometriosis, Urinary incontinence, Vaginal fistula, Cervical cancer"
Mayo Clinic,"Shayan Butt, M.B.B.S.",,
Mayo Clinic,"Yasmeen M. Butt, M.D.",,
Mayo Clinic,"Navtej (Nav) S. Buttar, M.D.",Gastroenterologist,"Minimally invasive anti-reflux procedure, Endoscopic procedure, Polyp, Gastroesophageal reflux disease, Esophageal canc...er, Inflammatory bowel disease"
Mayo Clinic,"Joseph H. Butterfield, M.D.","Internist, Allergist-Immunologist",Systemic mastocytosis
Mayo Clinic,"Matthew A. Butters, M.D.",Physiatrist,"Lumbar spinal stenosis, Cervical myelopathy, Back pain, Hip tendinitis, Lumbar radiculopathy, Cervical herniated disk, ...Osteoarthritis, Neck pain, Knee pain, Cervical spinal stenosis, Lumbar herniated disk, Hip arthritis, Cervical radiculopathy, Shoulder disorder"
Mayo Clinic,"Mohamad Bydon, M.D.",Neurosurgeon,"Lumbar scoliosis surgery, Spinal fusion, Laminoplasty, Spine reconstruction, Laminectomy, Lumbar diskectomy, Cervical s...pine surgery, Spine tumor surgery, Cervical laminectomy, Thoracic laminectomy, Thoracic scoliosis surgery, Cervical pseudoarthrosis procedure, Minimally invasive surgery, Spine procedure, Cervical disk replacement, Lumbar spine fusion (Deprecated), Lumbar laminectomy, Lumbar spinal fusion (Deprecated), Lumbar pseudoarthrosis procedure, Laminotomy, Thoracic pseudoarthrosis procedure, Spinal deformity correction surgery, Spine stabilization program, Spine decompression, Diskectomy, Thoracic diskectomy, Cervical diskectomy, Cervical spine fusion, Thoracic fusion, Spinal tumor ablation, Spinal stabilization surgery, Lumbar fusion, Cervical scoliosis surgery, Hemivertebra resection, Cervical radiculopathy, Lumbar herniated disk, Myelopathy, Cervical herniated disk, Neck pain, Spine deformity, Cervical spine deformity, Spinal cord tumor, Thoracic radiculopathy, Spinal stenosis, Cervical spondylotic myelopathy, Spinal pain, Tumors and masses, Lumbar radiculopathy, Radiculopathy, Spondylotic myelopathy, Trigeminal neuralgia, Spinal compression fracture, Spinal tumor, Spinal cord injury, Spinal metastasis, Cervical spinal stenosis, Spondylolisthesis, Spinal fracture, Spinal arteriovenous malformation, Degenerative disk disease, Spinal abscess, Cervical kyphosis, Scoliosis, Cervical spondylosis, Back pain, Lumbar spondylosis, Herniated disk, Cervical myelopathy, Spinal cord metastasis, Thoracic herniated disk, Chiari malformation, Lumbar spinal stenosis, Cervical spondylolisthesis, Thoracic myelopathy"
Mayo Clinic,"Thomas J. Byrne, M.D.","Transplant Hepatologist, Internist","Hepatocellular carcinoma, Nonalcoholic fatty liver disease"
Mayo Clinic,"Tina H. Byun, M.D.",Internist,
Mayo Clinic,"Allison Cabalka, M.D.",Pediatric Cardiologist,"Fetal echocardiogram, Transesophageal echocardiogram, Cardiac catheterization, Echocardiogram, Congenital heart disease..., Heart disease, Atrial septal defect, Patent ductus arteriosus"
Mayo Clinic,"Daniel Cabrera, M.D.",Emergency Medicine Physician,
Mayo Clinic,"Charles R. Cagin, D.O.","Interventional Cardiologist, Internist",
Mayo Clinic,"Hancheng Cai, Ph.D.",,
Mayo Clinic,"Meghan R. Cain, M.D.",,
Mayo Clinic,"Hector R. Cajigas, M.D.","Critical Care Specialist, Pulmonologist","Pulmonary embolism, Pulmonary arteriovenous malformation, Portopulmonary hypertension, Hepatopulmonary syndrome, Heredi...tary hemorrhagic telangiectasia, Pulmonary hypertension"
Mayo Clinic,"Kenneth T. Calamia, M.D.","Internist, Rheumatologist","Vasculitis, Rheumatoid arthritis, Behcet's disease, Pulmonary hypertension"
Mayo Clinic,"Marcella Caldi Scalcini, M.D.",Internist,
Mayo Clinic,"Cameron M. Callaghan, M.D.",Radiation Oncologist,"Proton therapy, Stereotactic body radiotherapy, Radiation therapy, Stereotactic radiosurgery, Intraoperative radiation ...therapy, Colon cancer, Stomach cancer, Rectal cancer, Cholangiocarcinoma, Hepatocellular carcinoma, Esophageal cancer, Anal cancer, Pancreatic cancer"
Mayo Clinic,"Matthew R. Callstrom, M.D., Ph.D.",Radiologist,Kidney biopsy
Mayo Clinic,"Marc Camacho, M.D., M.S.",Radiologist,
Mayo Clinic,"Michael J. Camilleri, M.D.","Dermatologist, Dermatopathologist","Blister, Skin inflammation, Dermatitis"
Mayo Clinic,"Michael Camilleri, M.D.",Gastroenterologist,"GI motility test, Inflammatory bowel disease"
Mayo Clinic,"John K. Camoriano, M.D.","Internist, Hematologist, Oncologist","Bone marrow transplant, Myeloproliferative disorders, Lymphoma, Breast cancer, Castleman disease"
Mayo Clinic,"Christopher L. Camp, M.D.","Orthopedic Surgeon, Sports Medicine Specialist","Elbow arthroscopy, Rotator cuff surgery, Tommy John surgery, Shoulder arthroscopy, Knee surgery, Shoulder replacement s...urgery, Elbow instability, Rotator cuff injury, Acromioclavicular joint arthritis, Biceps tendinitis, Medial collateral ligament tear, ACL injury, Golfer's elbow, Torn meniscus, Tennis elbow, Cartilage injury, Little Leaguer's elbow, Patellofemoral instability, Labral tear, Lateral collateral ligament tear, Biceps tear, Arthritis, Shoulder instability"
Mayo Clinic,"Ronna L. Campbell, M.D., Ph.D.",Emergency Medicine Physician,
Mayo Clinic,"Norbert G. Campeau, M.D.",Radiologist,
Mayo Clinic,"Jian L. Campian, M.D., Ph.D.",Oncologist,"Intrathecal chemotherapy, Neurofibromatosis, Meningioma, Brain metastasis, Medulloblastoma, Leptomeningeal metastases, ...Astrocytoma, Glioblastoma, Pineoblastoma, Oligodendroglioma"
Mayo Clinic,"Juan M. Canabal, M.D.","Critical Care Specialist, Internist","Intensive care, Shock, Liver problems, Hepatopulmonary syndrome, Sepsis"
Mayo Clinic,"David J. Cangemi, M.D.",Gastroenterologist,"Upper endoscopy, Bravo capsule pH test, Impedance pH testing, Colonoscopy, Esophageal manometry, Gastrointestinal trans...it study, Gastric emptying study, Breath testing, Anorectal manometry, Irritable bowel syndrome, Functional dyspepsia, Nonulcer stomach pain, Constipation, Diarrhea, Small intestinal bacterial overgrowth, Gastroparesis, Intestinal pseudo-obstruction, Pelvic floor dysfunction, Dysphagia, Gastroesophageal reflux disease, Functional bowel disorder, Heartburn"
Mayo Clinic,"Bryan C. Cannon, M.D.",Pediatric Cardiologist,"EP study, Endovenous thermal ablation, Exercise stress test, Electrocardiogram, Implantable cardioverter-defibrillator ...insertion, Tilt table test, Transesophageal echocardiogram, Ablation, Pacemaker insertion, Cryotherapy"
Mayo Clinic,"Keith J. Cannon, M.D.",Internist,
Mayo Clinic,"Hafsa M. Cantwell, M.D.",Dermatologist,"Botox injection, Facial filler injection, Wrinkle treatment, Chemical peel, Laser hair removal, Laser ablation, Laser r...esurfacing, Soft tissue augmentation, Connective tissue disorder, Hair loss, Contact dermatitis, UV skin damage, Melasma, Dermatitis, Acne scarring, Psoriasis, Age spots, Scarring, Bullous disease, Skin wrinkles"
Mayo Clinic,"Nicholas (Nick) C. Canzanello, D.O.",Physiatrist,"Nerve block, Radiofrequency neurotomy, Joint injection, Back pain management, Facet joint injection, Neck pain manageme...nt, Intrathecal pump implantation, Spinal cord stimulator insertion, Epidural blood patch, Epidural steroid injection, Nerve irritation, Radiculopathy, Shoulder arthritis, Lumbar spondylosis, Knee arthritis, Spinal pain, Hip arthritis, Herniated disk, Back pain, Spinal stenosis, Neck pain"
Mayo Clinic,"Vincent J. Canzanello, Jr., M.D.","Nephrologist, Internist","Kidney stone, Kidney failure, High blood pressure, Diabetes"
Mayo Clinic,"Sean M. Caples, D.O., M.S.","Critical Care Specialist, Pulmonologist, Sleep Medicine Specialist","Intensive care, Sleep disorders, Breathing problem NOS"
Mayo Clinic,"Quintin M. Cappelle, M.D.",,
Mayo Clinic,"Pedro J. Caraballo, M.D.","Internist, Clinical Informaticist",
Mayo Clinic,"Ivan (Darin) D. Carabenciov, M.D.",,
Mayo Clinic,"Anisleidy Carbo, M.D.",Family Physician,Intrauterine device method
Mayo Clinic,"Juan C. Cardenas Rosales, M.D.",Internist,
Mayo Clinic,"Olivia O. Cardenas-Trowers, M.D.","Urogynecologist, Gynecologist","Midurethral sling surgery, Robotic surgery, Vesicovaginal fistula repair , Sacral nerve stimulation, Sacrocolpopexy, Ur...inary sling procedure, Vaginal hysterectomy, Cystourethroscopy, Laparoscopic surgery, Urethral bulking, Pelvic floor reconstruction, Minimally invasive surgery, Vaginal repair, Rectovaginal fistula repair, Urethral diverticulum surgery, Botox injection, Hysterectomy, Gynecological surgery, Anterior prolapse, Urge incontinence , Rectocele, Urethral diverticulum, Uterine prolapse, Fecal incontinence, Fistula, Stress incontinence, Pelvic organ prolapse, Urinary incontinence, Enterocele, Overactive bladder"
Mayo Clinic,"Elise C. Carey, M.D.","Internist, Palliative Care Specialist",Palliative care
Mayo Clinic,"Elizabeth J. Carey, M.D.","Transplant Hepatologist, Internist, Gastroenterologist","Liver transplant, Autoimmune hepatitis, Primary biliary cholangitis, Primary sclerosing cholangitis"
Mayo Clinic,"William A. Carey, M.D.","Neonatologist, Pediatrician","Cerebral palsy, Encephalopathy"
Mayo Clinic,"Brian T. Carlsen, M.D.","Plastic Surgeon, Hand Surgeon","Wrist fusion, Elbow replacement, Wrist replacement, Hand reconstruction, Wrist fracture treatment, Hand surgery, Recons...tructive surgery, Flexor tendon repair surgery, Arthroplasty, Wrist arthroscopy, Hand fracture treatment, Finger reattachment, Flap surgery, Peripheral nerve tumor surgery, Vascularized bone grafting, Cosmetic surgery, Arthroscopy, Carpal tunnel surgery, Carpal tunnel syndrome, Tendinopathy, Broken hand, Hand injury, Dupuytren's contracture, Arthritis, Thumb arthritis, Hand mass, Hand arthritis, Trigger finger, Wrist pain, Nerve entrapment, Scaphoid nonunion, Broken wrist"
Mayo Clinic,"Matthew L. Carlson, M.D.",Otolaryngologist,"Tympanoplasty, Stapes surgery, Cochlear implant procedure, Vestibular disorder, Otosclerosis, Acoustic neuroma"
Mayo Clinic,"Stephanie K. Carlson, M.D.",Radiologist,PET/CT whole body
Mayo Clinic,"Thomas T. Carmody, M.D.",Cardiovascular Surgeon,"Aortic valve repair and replacement, Maze procedure, Lung biopsy, Off pump coronary bypass surgery, Aortic aneurysm rep...air, Mitral valve repair and replacement, Coronary bypass surgery, Carotid endarterectomy, Lung cancer, Aortic aneurysm, Atrial fibrillation"
Mayo Clinic,"Eva M. Carmona Porquera, M.D., Ph.D.","Internist, Pulmonologist","Sarcoidosis, Interstitial lung disease, Lung cancer, Asthma attack"
Mayo Clinic,"Christopher (Chris) R. Carpenter, M.D.",,
Mayo Clinic,"Brendan M. Carr, M.D., M.B.A.",,
Mayo Clinic,"Carrie M. Carr, M.D.",Radiologist,
Mayo Clinic,"Ryan M. Carr, M.D., Ph.D.",Oncologist,"Pancreatic cancer, Cholangiocarcinoma, Hepatocellular carcinoma, Colon cancer, Rectal cancer, Stomach cancer, Esophagea...l cancer, Anal cancer, Neuroendocrine tumor, Small bowel cancer"
Mayo Clinic,"Leslie Carranza, M.D.",Obstetrician,"Pregnancy, Pregnancy complication, Pregnancy loss"
Mayo Clinic,"Aakriti R. Carrubba, M.D.",Gynecologist,"Endometrial ablation, Colposcopy, Conization, Myomectomy, Pelvic surgery, Fertility sparing surgery, Cervical biopsy, O...ophorectomy, Robotic surgery, Ovarian remnant removal, Hysterectomy, Laser surgery, Laparoscopic surgery, Contraceptive implant method, Intrauterine device method, Salpingectomy, Endometrial biopsy, Endometriosis surgery, Hysteroscopy, Contraceptive injection method, Adenomyosis, Uterine polyps, Vulvodynia, Ovarian cyst, Sexually transmitted disease, Vaginal atrophy, Female sexual dysfunction, Endometriosis, Chronic pelvic pain, Menopause-related conditions, Cervical dysplasia, Uterine fibroid"
Mayo Clinic,"Jonathan L. Carter, M.D.","Neurologist, Neuromuscular Disease Specialist","Optic neuritis, Multiple sclerosis, Transverse myelitis"
Mayo Clinic,"Rodrigo Cartin-Ceba, M.D.","Critical Care Specialist, Pulmonologist","Bronchoscopy, Vasculitis, Pulmonary hypertension"
Mayo Clinic,"Ana I. Casanegra, M.D., M.S.","Vascular Medicine Specialist, Internist","Ultrasound, Anticoagulant therapy, Antiphospholipid syndrome, Thrombophlebitis, Protein S deficiency, Carotid artery di...sease, Fibromuscular dysplasia, Venous thrombosis, Factor V Leiden, Carotid artery dissection, Peripheral artery disease, Protein C deficiency, Renal artery stenosis, Pulmonary embolism, Thrombophilia, Aortic dissection, Congenital blood clotting disorder, Deep vein thrombosis, Vasospastic disorders, Aneurysm, Antithrombin deficiency, Arterial embolism, Visceral artery aneurysm"
Mayo Clinic,"Gregory D. Cascino, M.D.","Internist, Neurologist","Angelman syndrome, Epilepsy"
Mayo Clinic,"Richard J. Caselli, M.D.",Neurologist,"Electromyography, Alzheimer's disease"
Mayo Clinic,"Melanie P. Caserta, M.D.",Radiologist,"Contrast-enhanced ultrasound, Ultrasound, MRI, CT scan"
Mayo Clinic,"William J. Casey, III, M.D.",Plastic Surgeon,"Cancer treatment, Skin graft surgery, Microvascular reconstruction, Breast augmentation, Skin cancer excision, Liposuct...ion, Hernia repair, Rhinoplasty, Tummy tuck, Laser resurfacing, Lymphovenous bypass, Breast surgery, Breast reduction, Vascularized free fibula transfer, Face lift, Facial filler injection, Breast reconstruction, Microvascular surgery, Breast reconstruction with breast implants, Botox injection, Reconstructive surgery, Mohs surgery, Blepharoplasty, Vascularized lymph node transfer, Breast reconstruction with flap surgery, Skin cancer reconstruction, Hernia, Facial deformity, Facial injury, Skin cancer, Neurofibromatosis, Weight, Facial nerve disorder, Facial filler injection, Breast cancer-related lymphedema, Lymphedema, Facial skin cancer, Obesity, Burns, Facial paralysis, Traumatic injury"
Mayo Clinic,"John D. Casler, M.D.",Otolaryngologist,"Reconstructive surgery, Thyroid cancer, Jaw tumors and cysts, Head and neck cancer"
Mayo Clinic,"Adam Cassidy, Ph.D., L.P.",Neuropsychologist,"Neuropsychological assessment, Heart transplant complication, Transposition of the great arteries, Hypoplastic left hea...rt syndrome, Congenital heart disease, Tetralogy of Fallot, Ventricular septal defect, Atrial septal defect"
Mayo Clinic,"Stephen D. Cassivi, M.D., M.S.",Thoracic Surgeon,"Minimally invasive surgery, Segmentectomy, Minimally invasive esophagectomy, Robotic lobectomy, Esophagectomy, Hyperhid...rosis surgery, Minimally invasive thymectomy, Lung volume reduction surgery, Robotic surgery, Heller myotomy, VATS lobectomy, Video mediastinoscopy, Supercharged jejunal interposition, VATS, Thymectomy, Esophageal reconstruction, Lung cancer, Achalasia, Mediastinal tumor, Mediastinal lymph node enlargement, Myasthenia gravis, Pneumothorax, Pancoast tumor, Esophageal cancer, Hyperhidrosis, Thymic tumor, Gastroesophageal reflux disease, Hiatal hernia"
Mayo Clinic,"Pablo R. Castillo, M.D.","Internist, Neurologist, Sleep Medicine Specialist","Sleep disorders, Parasomnia"
Mayo Clinic,"Januario E. Castro, M.D.",Hematologist / Oncologist,"CAR t-cell therapy, Lymphoma, Chronic lymphocytic leukemia"
Mayo Clinic,"M. Regina Castro, M.D.","Lipidologist, Endocrinologist","Fine needle aspiration, Hypothyroidism, Thyroid cancer, Graves' disease, Thyroid nodule, Thyroid disease, Diabetes, Hyp...erthyroidism"
Mayo Clinic,"Joao Paulo Cavalcante de Almeida, M.D., Ph.D.",Neurosurgeon,"Endoscopic transnasal transsphenoidal surgery, Endoscopic skull base surgery, Pituitary tumor surgery, Awake brain surg...ery, Skull base surgery, Craniotomy, Gamma knife surgery, Encephalocele, Glioma, Brain tumor-associated epilepsy, Subdural hematoma, Chondrosarcoma, Glioma-associated epilepsy, Chordoma, Schwannoma, Skull base tumor, Pituitary tumor, Brain metastasis, CSF leak, Trigeminal neuralgia, Brain cancer, Meningioma, Brain tumor, Craniopharyngioma"
Mayo Clinic,"John N. Caviness, M.D.",Neurologist,"EEG, Chorea, Huntington's disease, Movement disorder, Parkinson's disease, Myoclonus"
Mayo Clinic,"Jane H. Cerhan, Ph.D., L.P.",Psychologist,Cancer
Mayo Clinic,"Joseph G. Cernigliaro, M.D.",Radiologist,
Mayo Clinic,"Frank Cetta, Jr., M.D.",Pediatric Cardiologist,"Cardiac catheterization, Echocardiogram, Congenital heart disease, Congenital heart defects in children, Congenital hea...rt defects in adults"
Mayo Clinic,"Michael J. Cevette, Ph.D.",Audiologist,"Age-related hearing loss, Hearing loss, Vestibular disorder"
Mayo Clinic,"Yong-Mei Cha, M.D.","Cardiologist, Cardiac Electrophysiologist","Cardiac resynchronization therapy, Atrial fibrillation ablation, Implantable cardioverter-defibrillator insertion, Card...iac ablation, Endocardial ablation, Epicardial ablation, AV node ablation, Pacemaker lead extraction, Pacemaker insertion, EP study, ICD lead extraction, Cardiac resynchronization device insertion, Sudden cardiac arrest, Atrial fibrillation, Ventricular arrhythmia, Heart arrhythmia"
Mayo Clinic,"Ryan M. Chadha, M.D.",Anesthesiologist,"General anesthesia administration, Liver transplant"
Mayo Clinic,"Kaisorn L. Chaichana, M.D.",Neurosurgeon,"Minimally invasive neurosurgery, Endoscopic transnasal transsphenoidal surgery, Minimally invasive surgery, Endoscopic ...procedure, Keyhole craniotomy, Craniotomy, Brain tumor surgery, Astrocytoma, Brain cancer, Meningioma, Acoustic neuroma, Brain tumor, Glioblastoma, CSF leak, Chordoma, Glioma, Pituitary tumor, Chondrosarcoma, Craniopharyngioma, Esthesioneuroblastoma, Oligodendroglioma, Brain metastasis"
Mayo Clinic,"Harini A. Chakkera, M.D.","Nephrologist, Internist","Pancreas transplant, Kidney transplant, Kidney failure, Pancreatic disorder"
Mayo Clinic,"Rana Chakraborty, M.D., D.Phil.",Pediatric Infectious Disease Specialist,"Infection in the immunocompromised, Infectious disease, HIV/AIDS"
Mayo Clinic,"Hari P. Chaliki, M.D.","Echocardiographer, Cardiologist","Echocardiogram, Heart valve disease"
Mayo Clinic,"Swarna S. Chaliki, M.B.B.S., M.D.",Internist,
Mayo Clinic,"Douglas (Doug) W. Challener, M.D., M.S.",,General infectious diseases
Mayo Clinic,"Sarah J. Chalmers, M.D.","Pulmonologist, Critical Care Specialist, Pediatrician, Internist","Bronchoscopy, Arterial line placement, Central venous catheterization, Endotracheal intubation, Chest tube placement, T...horacentesis, Cystic fibrosis, Mycobacterial infection, Bronchiectasis"
Mayo Clinic,"Andrew N. Chalupka, M.D., M.B.A.",Anesthesiologist,
Mayo Clinic,"Alex Chan, D.O.",Radiologist,
Mayo Clinic,"Elizabeth Y. Chan, M.D.",Cardiologist,
Mayo Clinic,"Johanna L. Chan, M.D.",Gastroenterologist,"Flexible sigmoidoscopy, Upper endoscopy, Colonoscopy, Peptic ulcer, Colon polyps, Gastrointestinal bleeding, Constipati...on, Diarrhea, Gastroesophageal reflux disease"
Mayo Clinic,"Asher A. Chanan-Khan, M.D.",Hematologist,"Multiple myeloma, Waldenstrom macroglobulinemia, Melanoma, Chronic lymphocytic leukemia"
Mayo Clinic,"Melanie J. Chandler, Ph.D.",Psychologist,"Neuropsychological assessment, Mild cognitive impairment, Dementia"
Mayo Clinic,"Anupam Chandra, M.D.","Internist, Geriatrician",
Mayo Clinic,"Vinay Chandrasekhara, M.D.",Gastroenterologist,"Endoscopic GI leak procedure, Colonoscopy, ERCP, Endoscopic submucosal dissection, Endoscopic brachytherapy, Endoscopic... ultrasound, Polypectomy, Endoscopic mucosal resection, Polyp, Pancreatic disorder, Pancreatic neuroendocrine tumor, Pancreatic cancer, Bile duct stone, Pancreatic insufficiency, Pancreatic cyst, Cholangiocarcinoma, Bile duct stricture, Pancreatitis"
